	WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE
0	abandon	abandonned	abandonned	abandonning
1	abase	abased	abased	abasing
2	abash	abashed	abashed	abashing
3	abate	abated	abated	abating
4	abbreviate	abbreviated	abbreviated	abbreviating
5	abdicate	abdicated	abdicated	abdicating
6	abduct	abducted	abducted	abducting
7	abet	abetted	abetted	abetting
8	abhor	abhorred	abhorred	abhorring
9	abide	abided	abided	abiding
10	abjure	abjured	abjured	abjuring
11	abolish	abolished	abolished	abolishing
12	abominate	abominated	abominated	abominating
13	abort	aborted	aborted	aborting
14	abound	abounded	abounded	abounding
15	about-face	about-faced	about-faced	about-facing
16	abrade	abraded	abraded	abrading
17	abridge	abridged	abridged	abridging
18	abrogate	abrogated	abrogated	abrogating
19	abscond	absconded	absconded	absconding
20	absent	absented	absented	absenting
21	absolve	absolved	absolved	absolving
22	absorb	absorbed	absorbed	absorbing
23	abstain	abstainned	abstainned	abstainning
24	abstract	abstracted	abstracted	abstracting
25	abuse	abused	abused	abusing
26	abut	abutted	abutted	abutting
27	accede	acceded	acceded	acceding
28	accelerate	accelerated	accelerated	accelerating
29	accent	accented	accented	accenting
30	accentuate	accentuated	accentuated	accentuating
31	accept	accepted	accepted	accepting
32	access	accessed	accessed	accessing
33	acclaim	acclaimmed	acclaimmed	acclaimming
34	acclimate	acclimated	acclimated	acclimating
35	acclimatize	acclimatized	acclimatized	acclimatizing
36	accommodate	accommodated	accommodated	accommodating
37	accompany	accompanied	accompanied	accompanying
38	accomplish	accomplished	accomplished	accomplishing
39	accord	accorded	accorded	according
40	accost	accosted	accosted	accosting
41	account	accounted	accounted	accounting
42	accredit	accreditted	accreditted	accreditting
43	accrue	accrued	accrued	accruing
44	accumulate	accumulated	accumulated	accumulating
45	accuse	accused	accused	accusing
46	accustom	accustommed	accustommed	accustomming
47	ache	ached	ached	aching
48	achieve	achieved	achieved	achieving
49	acidify	acidified	acidified	acidifying
50	acknowledge	acknowledged	acknowledged	acknowledging
51	acquaint	acquainted	acquainted	acquainting
52	acquiesce	acquiesced	acquiesced	acquiescing
53	acquire	acquired	acquired	acquiring
54	acquit	acquitted	acquitted	acquitting
55	act	acted	acted	acting
56	activate	activated	activated	activating
57	actuate	actuated	actuated	actuating
58	ad-lib	ad-libbed	ad-libbed	ad-libbing
59	adapt	adapted	adapted	adapting
60	add	added	added	adding
61	addict	addicted	addicted	addicting
62	addle	addled	addled	addling
63	address	addressed	addressed	addressing
64	adduce	adduced	adduced	adducing
65	adhere	adhered	adhered	adhering
66	adjoin	adjoinned	adjoinned	adjoinning
67	adjourn	adjourned	adjourned	adjourning
68	adjudge	adjudged	adjudged	adjudging
69	adjudicate	adjudicated	adjudicated	adjudicating
70	adjure	adjured	adjured	adjuring
71	adjust	adjusted	adjusted	adjusting
72	administer	administerred	administerred	administerring
73	admire	admired	admired	admiring
74	admit	admitted	admitted	admitting
75	admix	admixed	admixed	admixing
76	admonish	admonished	admonished	admonishing
77	adopt	adopted	adopted	adopting
78	adore	adored	adored	adoring
79	adorn	adorned	adorned	adorning
80	adulterate	adulterated	adulterated	adulterating
81	adumbrate	adumbrated	adumbrated	adumbrating
82	advance	advanced	advanced	advancing
83	adventure	adventured	adventured	adventuring
84	advert	adverted	adverted	adverting
85	advertise	advertised	advertised	advertising
86	advertize	advertized	advertized	advertizing
87	advise	advised	advised	advising
88	advocate	advocated	advocated	advocating
89	aerate	aerated	aerated	aerating
90	affect	affected	affected	affecting
91	affiance	affianced	affianced	affiancing
92	affiliate	affiliated	affiliated	affiliating
93	affirm	affirmed	affirmed	affirming
94	affix	affixed	affixed	affixing
95	afflict	afflicted	afflicted	afflicting
96	afford	afforded	afforded	affording
97	afforest	afforested	afforested	afforesting
98	affranchise	affranchised	affranchised	affranchising
99	affront	affronted	affronted	affronting
100	age	aged	aged	aging
101	agglomerate	agglomerated	agglomerated	agglomerating
102	agglutinate	agglutinated	agglutinated	agglutinating
103	aggrandize	aggrandized	aggrandized	aggrandizing
104	aggravate	aggravated	aggravated	aggravating
105	aggregate	aggregated	aggregated	aggregating
106	aggrieve	aggrieved	aggrieved	aggrieving
107	agitate	agitated	agitated	agitating
108	agree	agreed	agreed	agreeing
109	aid	aidded	aidded	aidding
110	ail	ailled	ailled	ailling
111	aim	aimmed	aimmed	aimming
112	air	airred	airred	airring
113	alarm	alarmed	alarmed	alarming
114	alert	alerted	alerted	alerting
115	alienate	alienated	alienated	alienating
116	alight	(alit alighted)	(alit alighted)	alighting
117	align	aligned	aligned	aligning
118	alkylate	alkylated	alkylated	alkylating
119	allay	allayed	allayed	allaying
120	allege	alleged	alleged	alleging
121	alleviate	alleviated	alleviated	alleviating
122	allocate	allocated	allocated	allocating
123	allot	allotted	allotted	allotting
124	allow	allowed	allowed	allowing
125	alloy	alloyed	alloyed	alloying
126	allude	alluded	alluded	alluding
127	allure	allured	allured	alluring
128	ally	allied	allied	allying
129	alter	alterred	alterred	alterring
130	alternate	alternated	alternated	alternating
131	amalgamate	amalgamated	amalgamated	amalgamating
132	amass	amassed	amassed	amassing
133	amaze	amazed	amazed	amazing
134	amble	ambled	ambled	ambling
135	ambush	ambushed	ambushed	ambushing
136	ameliorate	ameliorated	ameliorated	ameliorating
137	amend	amended	amended	amending
138	amortize	amortized	amortized	amortizing
139	amount	amounted	amounted	amounting
140	amplify	amplified	amplified	amplifying
141	amputate	amputated	amputated	amputating
142	amuse	amused	amused	amusing
143	anaesthetize	anaesthetized	anaesthetized	anaesthetizing
144	analyse	analysed	analysed	analysing
145	analyze	analyzed	analyzed	analyzing
146	anathematize	anathematized	anathematized	anathematizing
147	anchor	anchorred	anchorred	anchorring
148	anesthetize	anesthetized	anesthetized	anesthetizing
149	anger	angerred	angerred	angerring
150	angle	angled	angled	angling
151	anglicize	anglicized	anglicized	anglicizing
152	animadvert	animadverted	animadverted	animadverting
153	animate	animated	animated	animating
154	anneal	annealled	annealled	annealling
155	annex	annexed	annexed	annexing
156	annihilate	annihilated	annihilated	annihilating
157	annotate	annotated	annotated	annotating
158	announce	announced	announced	announcing
159	annoy	annoyed	annoyed	annoying
160	annualize	annualized	annualized	annualizing
161	annul	annulled	annulled	annulling
162	annunciate	annunciated	annunciated	annunciating
163	anoint	anointed	anointed	anointing
164	answer	answerred	answerred	answerring
165	antagonize	antagonized	antagonized	antagonizing
166	antedate	antedated	antedated	antedating
167	anticipate	anticipated	anticipated	anticipating
168	ape	aped	aped	aping
169	apologize	apologized	apologized	apologizing
170	apostrophize	apostrophized	apostrophized	apostrophizing
171	appal	appalled	appalled	appalling
172	apparel	(apparelled appareled)	(apparelled appareled)	(apparelling appareling)
173	appeal	appealled	appealled	appealling
174	appear	appearred	appearred	appearring
175	appease	appeased	appeased	appeasing
176	append	appended	appended	appending
177	appertain	appertainned	appertainned	appertainning
178	applaud	applaudded	applaudded	applaudding
179	applique	appliqueed	appliqueed	appliqueing
180	appliqué	appliquééed	appliquééed	appliquééing
181	apply	applied	applied	applying
182	appoint	appointed	appointed	appointing
183	apportion	apportionned	apportionned	apportionning
184	appraise	appraised	appraised	appraising
185	appreciate	appreciated	appreciated	appreciating
186	apprehend	apprehended	apprehended	apprehending
187	apprentice	apprenticed	apprenticed	apprenticing
188	apprise	apprised	apprised	apprising
189	approach	approached	approached	approaching
190	appropriate	appropriated	appropriated	appropriating
191	approve	approved	approved	approving
192	approximate	approximated	approximated	approximating
193	aquaplane	aquaplaned	aquaplaned	aquaplaning
194	arbitrate	arbitrated	arbitrated	arbitrating
195	arch	arched	arched	arching
196	argue	argued	argued	arguing
197	arise	arose	arisen	arising
198	arm	armed	armed	arming
199	arouse	aroused	aroused	arousing
200	arraign	arraigned	arraigned	arraigning
201	arrange	arranged	arranged	arranging
202	array	arrayed	arrayed	arraying
203	arrest	arrested	arrested	arresting
204	arrive	arrived	arrived	arriving
205	arrogate	arrogated	arrogated	arrogating
206	article	articled	articled	articling
207	articulate	articulated	articulated	articulating
208	ascend	ascended	ascended	ascending
209	ascertain	ascertainned	ascertainned	ascertainning
210	ascribe	ascribed	ascribed	ascribing
211	ask	asked	asked	asking
212	asperse	aspersed	aspersed	aspersing
213	asphalt	asphalted	asphalted	asphalting
214	asphyxiate	asphyxiated	asphyxiated	asphyxiating
